season,tour,start_date,end_date,player,round,statistic,measure,value
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,2,SG: Off-the-Tee,tvalue,0.126
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,1,SG: Tee-to-Green,tvalue,1.014
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,2,SG: Tee-to-Green,tvalue,1.014
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,1,SG: Total,tvalue,2.148
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,2,SG: Total,tvalue,2.148
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Eagles,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Eagles,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Birdies,tvalue,12
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Birdies,tvalue,12
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Pars,tvalue,13
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Pars,tvalue,13
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Bogeys,tvalue,4
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Bogeys,tvalue,4
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Doubles,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Doubles,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Other,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Other,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Scrambling,tvalue,0.3333
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Scrambling,tvalue,0.3333
